Time,max
190821011900,11.8
190821011913,11.5
190821011927,11.0
190821011940,12.1
190821011953,11.5
190821012007,11.6
190821012020,11.7
190821012033,11.6
190821012047,11.9
190821012100,12.0
190821012113,11.6
190821012127,11.9
190821012140,11.7
190821012153,11.8
190821012207,11.6
190821012220,12.0
190821012233,11.9
190821012247,11.9
190821012300,11.7
190821012313,10.6
190821012327,11.4
190821012340,11.3
190821012354,11.8
190821012407,11.6
190821012420,11.3
190821012434,12.0
190821012447,12.4
190821012500,11.2
190821012514,11.6
190821012527,12.0
190821012540,11.7
190821012554,12.1
190821012607,12.1
190821012620,11.5
190821012634,10.8
190821012647,11.1
190821012700,10.6
190821012714,11.1
190821012727,10.6
190821012740,10.8
190821012754,10.7
190821012807,10.9
190821012820,11.2
190821012834,10.5
190821012847,11.5
190821012900,11.7
190821012914,10.6
190821012927,11.3
190821012940,11.0
190821012954,10.6
190821013007,11.2
190821013020,10.4
190821013034,11.3
190821013047,10.9
190821013100,11.2
190821013114,11.5
190821013127,11.5
190821013140,11.7
190821013154,10.8
190821013207,9.5
190821013220,9.9
190821013234,9.8
190821013247,10.3
190821013300,10.7
190821013314,10.8
190821013327,10.6
190821013340,10.6
190821013354,10.5
190821013407,10.2
190821013420,11.1
190821013434,11.0
190821013447,10.0
190821013500,9.5
190821013514,9.8
190821013527,10.0
190821013540,10.2
190821013554,10.6
190821013607,10.7
190821013620,9.8
190821013634,11.0
190821013647,10.3
190821013700,10.3
190821013714,10.6
190821013727,10.6
190821013740,11.0
190821013754,11.5
190821013807,11.4
190821013820,11.1
190821013834,11.1
190821013847,10.8
190821013900,11.3
190821013914,11.6
190821013927,11.6
190821013940,11.1
190821013954,11.1
190821014007,10.4
190821014020,10.3
190821014034,14.9
190821014047,11.6
190821014100,10.1
190821014114,10.2
190821014127,10.0
190821014140,10.1
190821014154,10.2
190821014207,10.1
190821014220,9.7
190821014234,9.9
190821014247,10.2
190821014300,9.1
190821014314,10.5
190821014327,10.1
190821014341,10.1
190821014354,11.0
190821014407,10.2
190821014420,9.8
190821014434,10.0
190821014447,9.1
190821014501,10.3
190821014514,10.6
190821014527,10.1
190821014541,10.4
190821014554,11.3
190821014607,10.6
190821014620,10.3
190821014634,10.1
190821014647,10.5
190821014701,10.9
190821014714,10.6
190821014727,10.1
190821014740,10.4
190821014754,10.8
190821014807,10.5
190821014821,10.3
190821014834,10.8
190821014847,9.7
190821014900,10.1
190821014914,10.0
190821014927,10.4
190821014941,10.7
190821014954,10.2
190821015007,10.1
190821015021,9.5
190821015034,10.1
190821015047,9.5
190821015101,9.6
190821015114,10.6
190821015127,10.7
190821015141,11.5
190821015154,11.5
190821015207,12.0
190821015221,11.6
190821015234,11.4
190821015247,11.1
190821015301,11.9
190821015314,11.6
190821015327,11.9
190821015341,12.3
190821015354,11.7
190821015408,11.8
190821015421,11.9
190821015434,12.3
190821015447,12.5
190821015501,12.0
190821015514,11.6
190821015527,12.1
190821015541,12.7
190821015554,12.7
190821015607,12.4
190821015621,12.3
190821015634,12.7
190821015648,12.6
190821015701,12.0
190821015714,11.5
190821015728,12.4
190821015741,12.3
190821015754,12.9
190821015808,12.5
190821015821,11.4
190821015835,11.5
190821015848,11.5
190821015901,12.3
190821015914,12.2
190821015928,12.3
190821015941,12.7
190821015954,12.5
190821020008,12.1
190821020021,11.7
190821020035,12.2
190821020048,11.9
190821020101,12.2
