index,Date,time,max,region,label,record
115,2019-08-21,00:25:39,11.3,< 1.5,,
116,2019-08-21,00:25:53,12.8,1.5 ~ 3,,
117,2019-08-21,00:26:06,11.7,< 1.5,,
118,2019-08-21,00:26:19,12.3,< 1.5,,
119,2019-08-21,00:26:33,12.5,1.5 ~ 3,,
120,2019-08-21,00:26:46,12.1,< 1.5,,
121,2019-08-21,00:26:59,13.0,1.5 ~ 3,,
122,2019-08-21,00:27:13,12.2,< 1.5,,
123,2019-08-21,00:27:26,12.0,< 1.5,,
124,2019-08-21,00:27:39,12.1,< 1.5,,
125,2019-08-21,00:27:53,12.3,< 1.5,,
126,2019-08-21,00:28:06,12.9,1.5 ~ 3,,
127,2019-08-21,00:28:19,12.4,1.5 ~ 3,,
128,2019-08-21,00:28:33,12.3,< 1.5,,
129,2019-08-21,00:28:46,12.4,1.5 ~ 3,,
130,2019-08-21,00:28:59,12.9,1.5 ~ 3,,
131,2019-08-21,00:29:13,11.3,< 1.5,,
132,2019-08-21,00:29:26,11.8,< 1.5,,
133,2019-08-21,00:29:39,12.4,1.5 ~ 3,,
134,2019-08-21,00:29:53,13.2,1.5 ~ 3,,
135,2019-08-21,00:30:06,12.5,1.5 ~ 3,,
136,2019-08-21,00:30:19,12.4,1.5 ~ 3,,
137,2019-08-21,00:30:33,12.4,1.5 ~ 3,,
138,2019-08-21,00:30:46,12.3,< 1.5,,
139,2019-08-21,00:30:59,12.8,1.5 ~ 3,,
140,2019-08-21,00:31:13,13.9,1.5 ~ 3,,
141,2019-08-21,00:31:26,12.0,< 1.5,,
142,2019-08-21,00:31:39,12.4,1.5 ~ 3,,
143,2019-08-21,00:31:53,12.0,< 1.5,,
144,2019-08-21,00:32:06,11.9,< 1.5,,
145,2019-08-21,00:32:19,12.6,1.5 ~ 3,,
146,2019-08-21,00:32:33,11.7,< 1.5,,
147,2019-08-21,00:32:46,11.9,< 1.5,,
148,2019-08-21,00:32:59,13.0,1.5 ~ 3,,
149,2019-08-21,00:33:13,12.7,1.5 ~ 3,,
150,2019-08-21,00:33:26,13.0,1.5 ~ 3,,
151,2019-08-21,00:33:39,12.5,1.5 ~ 3,,
152,2019-08-21,00:33:53,12.1,< 1.5,,
153,2019-08-21,00:34:06,13.2,1.5 ~ 3,,
154,2019-08-21,00:34:19,12.6,1.5 ~ 3,,
155,2019-08-21,00:34:33,12.0,< 1.5,,
156,2019-08-21,00:34:46,12.5,1.5 ~ 3,,
157,2019-08-21,00:35:00,13.0,1.5 ~ 3,,
158,2019-08-21,00:35:13,12.7,1.5 ~ 3,,
159,2019-08-21,00:35:26,12.7,1.5 ~ 3,,
160,2019-08-21,00:35:40,11.7,< 1.5,,
161,2019-08-21,00:35:53,11.9,< 1.5,,
162,2019-08-21,00:36:06,11.9,< 1.5,,
163,2019-08-21,00:36:20,10.7,< 1.5,,
164,2019-08-21,00:36:33,11.7,< 1.5,,
165,2019-08-21,00:36:46,12.2,< 1.5,,
166,2019-08-21,00:37:00,11.8,< 1.5,,
167,2019-08-21,00:37:13,11.8,< 1.5,,
168,2019-08-21,00:37:26,12.2,< 1.5,,
169,2019-08-21,00:37:40,11.4,< 1.5,,
170,2019-08-21,00:37:53,11.4,< 1.5,,
171,2019-08-21,00:38:06,12.6,1.5 ~ 3,,
172,2019-08-21,00:38:20,11.0,< 1.5,,
173,2019-08-21,00:38:33,11.0,< 1.5,,
174,2019-08-21,00:38:46,10.3,< 1.5,,
175,2019-08-21,00:38:59,12.0,< 1.5,,
176,2019-08-21,00:39:13,11.7,< 1.5,,
177,2019-08-21,00:39:26,12.3,< 1.5,,
178,2019-08-21,00:39:40,11.8,< 1.5,,
179,2019-08-21,00:39:53,11.4,< 1.5,,
180,2019-08-21,00:40:06,11.8,< 1.5,,
181,2019-08-21,00:40:20,12.3,< 1.5,,
182,2019-08-21,00:40:33,11.8,< 1.5,,
183,2019-08-21,00:40:46,11.9,< 1.5,,
184,2019-08-21,00:41:00,12.6,1.5 ~ 3,,
185,2019-08-21,00:41:13,11.3,< 1.5,,
186,2019-08-21,00:41:26,11.6,< 1.5,,
187,2019-08-21,00:41:40,11.0,< 1.5,,
188,2019-08-21,00:41:53,11.5,< 1.5,,
189,2019-08-21,00:42:06,11.5,< 1.5,,
190,2019-08-21,00:42:20,12.0,< 1.5,,
191,2019-08-21,00:42:33,12.1,< 1.5,,
192,2019-08-21,00:42:46,11.6,< 1.5,,
193,2019-08-21,00:43:00,11.2,< 1.5,,
194,2019-08-21,00:43:13,11.2,< 1.5,,
195,2019-08-21,00:43:26,12.1,< 1.5,,
196,2019-08-21,00:43:39,11.3,< 1.5,,
197,2019-08-21,00:43:53,11.8,< 1.5,,
198,2019-08-21,00:44:06,11.7,< 1.5,,
199,2019-08-21,00:44:19,11.4,< 1.5,,
200,2019-08-21,00:44:33,11.7,< 1.5,,
201,2019-08-21,00:44:46,12.2,< 1.5,,
202,2019-08-21,00:45:00,11.5,< 1.5,,
203,2019-08-21,00:45:13,11.5,< 1.5,,
204,2019-08-21,00:45:26,11.9,< 1.5,,
205,2019-08-21,00:45:40,11.4,< 1.5,,
206,2019-08-21,00:45:53,10.6,< 1.5,,
207,2019-08-21,00:46:06,11.3,< 1.5,,
208,2019-08-21,00:46:19,11.1,< 1.5,,
209,2019-08-21,00:46:33,11.0,< 1.5,,
210,2019-08-21,00:46:46,11.2,< 1.5,,
211,2019-08-21,00:46:59,10.5,< 1.5,,
212,2019-08-21,00:47:13,11.3,< 1.5,,
213,2019-08-21,00:47:26,11.5,< 1.5,,
214,2019-08-21,00:47:40,11.4,< 1.5,,
215,2019-08-21,00:47:53,10.7,< 1.5,,
216,2019-08-21,00:48:06,11.4,< 1.5,,
217,2019-08-21,00:48:19,11.2,< 1.5,,
218,2019-08-21,00:48:33,11.0,< 1.5,,
219,2019-08-21,00:48:46,11.0,< 1.5,,
220,2019-08-21,00:48:59,10.4,< 1.5,,
221,2019-08-21,00:49:13,11.6,< 1.5,,
222,2019-08-21,00:49:26,11.6,< 1.5,,
223,2019-08-21,00:49:39,12.0,< 1.5,,
224,2019-08-21,00:49:53,11.1,< 1.5,,
225,2019-08-21,00:50:06,10.3,< 1.5,,
226,2019-08-21,00:50:19,10.0,< 1.5,,
